WIID,Description,Type,Status,Date
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
102461253,Calculate Client Security Hash,WI5,Open,2019-06-19
102461258,Calculate Client Security Hash,WI5,Open,2018-11-15
102461330,Research Client Check Copy,WI2,Completed,2018-09-11
102461281,Process Vendor Invoice,WI3,Open,2021-12-15
102461325,Research Client Check Copy,WI2,Open,2024-02-11
102461321,Research Client Check Copy,WI2,Open,2023-09-09
102461331,Research Client Check Copy,WI2,Open,2024-03-30
102461255,Calculate Client Security Hash,WI5,Open,2021-11-01
102461334,Research Client Check Copy,WI2,Open,2024-01-19
102461313,Research Client Check Copy,WI2,Open,2024-03-16
